amr_gene	aro_call	group	participant	is_coassembly	date
spaS4___73548	tet(32)	spaS72	p813	False	2023-04-04
spaS4___73548	tet(32)	spaS127	p431	False	2024-01-16
spaS4___73548	tet(32)	spaS81	p431	False	2023-08-22
spaS4___73548	tet(32)	spaS285	p654	False	2025-05-27
spaS4___73548	tet(32)	mh_p398	p398	True	
spaS4___73548	tet(32)	spaS174	p813	False	2024-05-14
spaS4___73548	tet(32)	spaS133	p729	False	2024-01-23
spaS4___73548	tet(32)	spaS61	p813	False	2023-02-14
spaS4___73548	tet(32)	spaS30	p110	False	2022-11-22
spaS4___73548	tet(32)	spaS159	p601	False	2024-03-26
spaS4___73548	tet(32)	spaS269	p142	False	2025-02-25
spaS4___73548	tet(32)	mh_p601	p601	True	
spaS4___73548	tet(32)	spaS75	p813	False	2023-04-18
spaS4___73548	tet(32)	spaS124	p601	False	2023-12-19
spaS4___73548	tet(32)	spaS24	p813	False	2022-11-08
spaS4___73548	tet(32)	spaS202	p373	False	2024-09-24
spaS4___73548	tet(32)	spaS297	p789	False	2024-04-16
spaS4___73548	tet(32)	spaS17	p470	False	2022-10-18
spaS4___73548	tet(32)	spaS207	p373	False	2024-10-15
spaS4___73548	tet(32)	spaS140	p601	False	2024-02-20
spaS4___73548	tet(32)	spaS149	p151	False	2024-03-12
spaS4___73548	tet(32)	spaS245	p523	False	2023-03-28
spaS4___73548	tet(32)	spaS154	p151	False	2024-03-19
spaS4___73548	tet(32)	spaS88	p813	False	2023-09-19
spaS4___73548	tet(32)	spaS221	p729	False	2025-05-27
spaS4___73548	tet(32)	spaS224	p813	False	2022-08-04
spaS4___73548	tet(32)	spaS216	p729	False	2025-05-13
spaS4___73548	tet(32)	spaS69	p813	False	2023-03-14
spaS4___73548	tet(32)	spaS226	p431	False	2022-08-09
spaS4___73548	tet(32)	spaS180	p729	False	2024-05-21
spaS4___73548	tet(32)	spaS213	p860	False	2025-01-21
spaS4___73548	tet(32)	mh_p722	p722	True	
spaS4___73548	tet(32)	spaS300	p789	False	2023-10-17
spaS4___73548	tet(32)	spaS120	p470	False	2023-12-12
spaS4___73548	tet(32)	spaS248	p813	False	2023-06-13
spaS4___73548	tet(32)	spaS183	p729	False	2024-05-28
spaS4___73548	tet(32)	spaS176	p894	False	2024-05-14
spaS4___73548	tet(32)	spaS296	p789	False	2024-03-26
spaS4___73548	tet(32)	spaS161	p601	False	2024-04-09
spaS4___73548	tet(32)	mh_p341	p341	True	
spaS4___73548	tet(32)	spaS54	p813	False	2023-01-17
spaS4___73548	tet(32)	spaS250	p97	False	2022-08-04
spaS4___73548	tet(32)	spaS173	p644	False	2024-05-14
spaS4___73548	tet(32)	spaS186	p431	False	2024-06-11
spaS4___73548	tet(32)	spaS259	p142	False	2024-12-03
spaS4___73548	tet(32)	spaS38	p470	False	2022-12-06
spaS4___73548	tet(32)	spaS113	p813	False	2023-11-28
spaS4___73548	tet(32)	spaS283	p654	False	2025-04-15
spaS4___73548	tet(32)	spaS240	p722	False	2025-05-06
spaS4___73548	tet(32)	spaS56	p470	False	2023-01-24
spaS4___73548	tet(32)	spaS21	p470	False	2022-11-01
spaS4___73548	tet(32)	spaS8	p470	False	2022-09-20
spaS4___73548	tet(32)	spaS119	p408	False	2023-12-12
spaS4___73548	tet(32)	mh_p789	p789	True	
spaS4___73548	tet(32)	spaS282	p142	False	2025-05-06
spaS4___73548	tet(32)	spaS145	p644	False	2024-02-27
spaS4___73548	tet(32)	spaS276	p584	False	2025-01-21
spaS4___73548	tet(32)	spaS279	p654	False	2025-02-25
spaS4___73548	tet(32)	spaS244	p431	False	2023-06-20
spaS4___73548	tet(32)	spaS73	p813	False	2023-04-11
spaS4___73548	tet(32)	spaS215	p151	False	2025-05-13
spaS4___73548	tet(32)	spaS148	p729	False	2024-03-05
spaS4___73548	tet(32)	spaS131	p601	False	2024-01-23
spaS4___73548	tet(32)	spaS298	p341	False	2025-05-27
spaS4___73548	tet(32)	spaS16	p431	False	2022-10-18
spaS4___73548	tet(32)	spaS71	p813	False	2023-03-28
spaS4___73548	tet(32)	spaS229	p431	False	2022-08-16
spaS4___73548	tet(32)	spaS287	p789	False	2023-11-28
spaS4___73548	tet(32)	spaS4	p813	False	2023-10-17
spaS4___73548	tet(32)	spaS267	p142	False	2025-01-14
spaS4___73548	tet(32)	spaS162	p728	False	2024-04-09
spaS4___73548	tet(32)	spaS178	p601	False	2024-05-21
spaS4___73548	tet(32)	spaS139	p894	False	2024-02-06
spaS4___73548	tet(32)	spaS151	p470	False	2024-03-12
spaS4___73548	tet(32)	spaS116	p601	False	2023-12-05
spaS4___73548	tet(32)	spaS205	p373	False	2024-10-01
spaS4___73548	tet(32)	spaS13	p470	False	2022-10-04
spaS4___73548	tet(32)	spaS52	p523	False	2023-01-17
spaS4___73548	tet(32)	spaS257	p142	False	2024-10-21
spaS4___73548	tet(32)	spaS150	p408	False	2024-03-12
spaS4___73548	tet(32)	spaS168	p601	False	2024-05-07
spaS4___73548	tet(32)	spaS143	p470	False	2024-02-27
spaS4___73548	tet(32)	spaS238	p431	False	2022-09-06
spaS4___73548	tet(32)	spaS95	p894	False	2023-10-10
spaS4___73548	tet(32)	spaS278	p654	False	2025-02-18
spaS4___73548	tet(32)	spaS284	p654	False	2025-05-06
spaS4___73548	tet(32)	spaS209	p373	False	2024-11-05
spaS4___73548	tet(32)	spaS157	p894	False	2024-03-19
spaS4___73548	tet(32)	mh_p584	p584	True	
mh_p110___122076	vanT gene in vanG cluster	spaS5	p523	False	2023-06-13
mh_p110___122076	vanT gene in vanG cluster	spaS171	p373	False	2024-05-14
mh_p110___122076	vanT gene in vanG cluster	spaS283	p654	False	2025-04-15
mh_p110___122076	vanT gene in vanG cluster	spaS240	p722	False	2025-05-06
mh_p110___122076	vanT gene in vanG cluster	spaS223	p110	False	2022-08-04
mh_p110___122076	vanT gene in vanG cluster	mh_p292	p292	True	
mh_p110___122076	vanT gene in vanG cluster	spaS19	p125	False	2022-11-01
mh_p110___122076	vanT gene in vanG cluster	spaS141	p408	False	2024-02-27
mh_p110___122076	vanT gene in vanG cluster	spaS177	p373	False	2024-05-21
mh_p110___122076	vanT gene in vanG cluster	spaS78	p431	False	2023-05-16
mh_p110___122076	vanT gene in vanG cluster	spaS158	p431	False	2024-03-26
mh_p110___122076	vanT gene in vanG cluster	mh_p125	p125	True	
mh_p110___122076	vanT gene in vanG cluster	spaS127	p431	False	2024-01-16
mh_p110___122076	vanT gene in vanG cluster	spaS81	p431	False	2023-08-22
mh_p110___122076	vanT gene in vanG cluster	spaS37	p110	False	2022-12-06
mh_p110___122076	vanT gene in vanG cluster	spaS211	p431	False	2025-01-14
mh_p110___122076	vanT gene in vanG cluster	mh_p110	p110	True	
mh_p110___122076	vanT gene in vanG cluster	spaS285	p654	False	2025-05-27
mh_p110___122076	vanT gene in vanG cluster	spaS26	p431	False	2022-11-15
mh_p110___122076	vanT gene in vanG cluster	spaS279	p654	False	2025-02-25
mh_p110___122076	vanT gene in vanG cluster	spaS30	p110	False	2022-11-22
mh_p110___122076	vanT gene in vanG cluster	spaS214	p373	False	2025-02-18
mh_p110___122076	vanT gene in vanG cluster	spaS123	p431	False	2023-12-19
mh_p110___122076	vanT gene in vanG cluster	mh_p408	p408	True	
