dereplicated_mag_id	strand	group	participant	is_coassembly	date	gtdb_taxonomy	phylum
coassembly_35_1	coassembly	mh_p523	p523	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	Bacillota
coassembly_35_2	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	Bacillota
coassembly_35_3	coassembly	mh_p722	p722	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	Bacillota
coassembly_35_4	coassembly	mh_p789	p789	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	Bacillota
coassembly_35_5	coassembly	mh_p860	p860	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	Bacillota
coassembly_35_6	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	Bacillota
coassembly_35_7	coassembly	mh_p601	p601	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp001556435	Bacillota
coassembly_36_0	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lactarius	Bacillota
coassembly_37_0	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_N	Bacillota
coassembly_38_0	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus xiaochunlingii	Bacillota
coassembly_39_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris	Bacillota
coassembly_39_1	coassembly	mh_p789	p789	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris	Bacillota
coassembly_40_1	coassembly	mh_p398	p398	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Bacillota
coassembly_40_1	coassembly	mh_p408	p408	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Bacillota
coassembly_40_1	coassembly	mh_p601	p601	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Bacillota
coassembly_40_1	coassembly	mh_p644	p644	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Bacillota
coassembly_40_1	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Bacillota
coassembly_40_1	coassembly	mh_p97	p97	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Bacillota
coassembly_40_2	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	Bacillota
coassembly_41_0	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus petauri	Bacillota
coassembly_42_0	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	Bacillota
coassembly_43_1	coassembly	mh_p125	p125	TRUE	NA	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia massiliensis	Verrucomicrobiota
coassembly_43_1	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia massiliensis	Verrucomicrobiota
coassembly_43_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia massiliensis	Verrucomicrobiota
coassembly_43_1	coassembly	mh_p408	p408	TRUE	NA	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia massiliensis	Verrucomicrobiota
coassembly_43_1	coassembly	mh_p644	p644	TRUE	NA	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia massiliensis	Verrucomicrobiota
